created_at,entry_id,field1,field2,field3,field4,field5,field6,field7,latitude,longitude,elevation,status
2026-01-21T18:34:05+07:00,80,22.7,42.9,0,,103,0,0,,,,
2026-01-21T18:34:25+07:00,81,22.7,43,0,,103,0,0,,,,
2026-01-21T18:34:45+07:00,82,22.7,42.8,0,,100,0,0,,,,
2026-01-21T18:35:05+07:00,83,22.7,42.8,0,,103,0,0,,,,
2026-01-21T18:35:25+07:00,84,22.7,42.8,0,,100,0,0,,,,
2026-01-21T18:35:45+07:00,85,22.7,42.8,0,,103,0,0,,,,
2026-01-21T18:36:05+07:00,86,22.7,42.7,0,,103,0,0,,,,
2026-01-21T18:36:26+07:00,87,22.7,42.7,0,,105,0,0,,,,
2026-01-21T18:36:45+07:00,88,22.7,42.6,0,,103,0,0,,,,
2026-01-21T18:37:32+07:00,89,22.7,42.7,0,,103,0,0,,,,
2026-01-21T18:37:52+07:00,90,22.7,42.6,0,,103,0,0,,,,
2026-01-21T18:38:12+07:00,91,22.7,42.7,0,,103,0,0,,,,
2026-01-21T18:38:32+07:00,92,22.6,42.6,0,,105,0,0,,,,
2026-01-21T18:38:52+07:00,93,22.6,42.5,0,,105,0,0,,,,
2026-01-21T18:39:12+07:00,94,22.6,42.5,0,,105,0,0,,,,
2026-01-21T18:39:33+07:00,95,22.6,42.5,0,,105,0,0,,,,
2026-01-21T18:39:52+07:00,96,22.6,42.5,0,,103,0,0,,,,
2026-01-21T18:40:13+07:00,97,22.6,42.5,0,,103,0,0,,,,
2026-01-21T18:40:32+07:00,98,22.6,42.5,0,,105,0,0,,,,
2026-01-21T18:40:53+07:00,99,22.6,42.5,0,,105,0,0,,,,
2026-01-21T18:41:12+07:00,100,22.6,42.4,0,,103,0,0,,,,
2026-01-21T18:41:32+07:00,101,22.6,42.5,0,,105,0,0,,,,
2026-01-21T18:41:53+07:00,102,22.6,42.4,0,,105,0,0,,,,
2026-01-21T18:42:12+07:00,103,22.6,42.6,0,,105,0,0,,,,
2026-01-21T18:42:32+07:00,104,22.6,42.6,0,,103,0,0,,,,
2026-01-21T18:42:53+07:00,105,22.6,42.5,0,,103,0,0,,,,
2026-01-21T18:43:12+07:00,106,22.6,42.5,0,,105,0,0,,,,
2026-01-21T18:43:32+07:00,107,22.6,42.4,0,,103,0,0,,,,
2026-01-21T18:43:53+07:00,108,22.6,42.5,0,,103,0,0,,,,
2026-01-21T18:44:12+07:00,109,22.6,42.5,0,,105,0,0,,,,
2026-01-21T18:44:32+07:00,110,22.6,42.4,0,,103,0,0,,,,
2026-01-21T18:44:52+07:00,111,22.6,42.4,0,,103,0,0,,,,
2026-01-21T18:45:12+07:00,112,22.6,42.5,0,,103,0,0,,,,
2026-01-21T18:45:33+07:00,113,22.6,42.4,0,,103,0,0,,,,
2026-01-21T18:45:52+07:00,114,22.6,42.3,0,,103,0,0,,,,
2026-01-21T18:46:12+07:00,115,22.6,42.4,0,,103,0,0,,,,
2026-01-21T18:46:32+07:00,116,22.6,42.5,0,,105,0,0,,,,
2026-01-21T18:46:52+07:00,117,22.6,42.4,0,,103,0,0,,,,
2026-01-21T18:47:13+07:00,118,22.6,42.3,0,,105,0,0,,,,
2026-01-21T18:47:33+07:00,119,22.6,42.5,0,,103,0,0,,,,
2026-01-21T18:47:53+07:00,120,22.6,42.5,0,,103,0,0,,,,
2026-01-21T18:48:32+07:00,121,22.6,42.4,nan,,103,1,1,,,,
2026-01-21T18:48:52+07:00,122,22.6,42.4,nan,,105,1,1,,,,
2026-01-21T18:49:12+07:00,123,22.6,42.5,nan,,105,1,1,,,,
2026-01-21T18:49:32+07:00,124,22.6,42.6,nan,,103,1,1,,,,
2026-01-21T18:49:52+07:00,125,22.6,42.6,nan,,103,1,1,,,,
2026-01-21T18:50:12+07:00,126,22.6,42.8,nan,,105,1,1,,,,
2026-01-21T18:50:32+07:00,127,22.6,42.6,nan,,105,1,1,,,,
2026-01-21T18:50:52+07:00,128,22.6,42.8,nan,,103,1,1,,,,
2026-01-21T18:51:12+07:00,129,22.6,42.9,nan,,103,1,1,,,,
2026-01-21T18:51:52+07:00,130,22.6,43,nan,,105,1,1,,,,
2026-01-21T18:52:12+07:00,131,22.6,43,nan,,105,1,1,,,,
2026-01-21T18:52:32+07:00,132,22.6,43,nan,,105,1,1,,,,
2026-01-21T18:52:52+07:00,133,22.6,43.1,nan,,103,1,1,,,,
2026-01-21T18:53:12+07:00,134,22.6,43.1,nan,,105,1,1,,,,
2026-01-21T18:53:32+07:00,135,22.6,43.2,nan,,105,1,1,,,,
2026-01-21T18:53:52+07:00,136,22.6,43.2,nan,,103,1,1,,,,
2026-01-21T18:54:12+07:00,137,22.7,43.2,nan,,103,1,1,,,,
2026-01-21T18:54:32+07:00,138,22.7,43.2,nan,,105,1,1,,,,
2026-01-21T18:54:53+07:00,139,22.7,43.2,nan,,105,1,1,,,,
2026-01-21T18:55:32+07:00,140,22.7,43.4,0,,105,1,1,,,,
2026-01-21T18:55:52+07:00,141,22.7,43.6,0,,103,1,1,,,,
2026-01-21T18:56:12+07:00,142,22.7,43.5,0,,105,1,1,,,,
2026-01-21T18:56:32+07:00,143,22.7,43.4,0,,105,1,1,,,,
2026-01-21T18:56:52+07:00,144,22.7,43.4,0,,103,1,1,,,,
2026-01-21T18:57:12+07:00,145,22.7,43.5,0,,105,1,1,,,,
2026-01-21T18:57:32+07:00,146,22.7,43.5,0,,105,1,1,,,,
2026-01-21T18:57:52+07:00,147,22.7,43.5,0,,103,1,1,,,,
2026-01-21T18:58:12+07:00,148,22.7,43.4,0,,103,1,1,,,,
2026-01-21T18:58:32+07:00,149,22.8,43.5,0,,105,1,1,,,,
2026-01-21T19:01:01+07:00,150,22.8,43.9,0,,110,1,1,,,,
2026-01-21T19:01:21+07:00,151,22.8,44,0,,110,1,1,,,,
2026-01-21T19:11:08+07:00,152,22.8,44.9,0,,110,1,1,,,,
2026-01-21T19:11:28+07:00,153,22.8,45.8,0,,110,1,1,,,,
2026-01-21T19:20:13+07:00,154,22.8,47.2,0,,2427,1,1,,,,
2026-01-21T19:20:33+07:00,155,22.9,47.5,0,,8318,1,1,,,,
2026-01-21T19:20:53+07:00,156,22.9,49.2,0,,95,1,1,,,,
